Present Zip Code	Gender	Race	Previous College 1 Name
84121	Female	White	Salt Lake Community College
84117	Female	White	University of Utah
84108	Female	White	University of Colorado Boulder
84020	Female	White	Salt Lake Community College
84109	Female	White	University Of Utah
84095	Female	White	University of Utah
84010	Female	White	Brigham Young University
84107	Male	Black or African American	Salt Lake Community College
84123	Female	White	Salt Lake Community College
84109	Female	White	University of Utah
84111	Female	White	Weber State University
84020	Female	White	Brigham Young University
84087	Male	Asian	University of Utah
84047	Female	White	Utah Valley University
84020	Female	White	Salt Lake Community College
84102	Female	Asian	the University of Utah
84058	Female	White	Utah Valley University
78258	Male	White	Brigham Young University
84095	Male	White	University of Utah
84604	Female	White	Brigham Young University
84042	Female	White	Southern Utah University
84065	Female	White	University of Utah
84105	Female	White	University of Utah
84119	Female	Asian	University of Utah
84128	Female	White	Salt Lake Community College
84065	Female	White	Salt Lake Community College
84117	Female	White	Harvard University
84124	Female	White	Salt Lake Community College
58201	Female	White	University of North Dakota
96822	Female	More Than One Race	University Of Hawaii at Manoa
84108	Female	White	University of Utah
84109	Female	White	Brigham Young University-Idaho
84604	Female	White	Brigham Young University
84606	Female	White	Utah Valley University
84109	Male	White	Salt Lake Community College
84045	Female	White	Utah Valley University
84004	Male	White	Utah Valley University
84057	Female	White	Virginia Tech
84057	Female	White	Weber State University
84102	Female	White	University of Utah
84095	Male	White	University Of Utah
99021	Female	White	Spokane Falls Community College
84020	Female	White	Brigham Young University
84096	Female	White	Salt Lake Community College
84606	Female	White	Brigham Young University
60614	Female	White	Depaul University
84104	Male	More Than One Race	Southern Utah University
84102	Female	White	Colorado Mesa University
84043	Female	White	Amertich College
84092	Female	White	Salt Lake Community College
84606	Female	White	Brigham Young University
84094	Female	White	Salt Lake Community College
84105	Female	White	Utah State University
84093	Female	White	Brigham Young University
84092	Female	White	University of Utah
84105	Female	White	University of Wyoming
84020	Female	White	University of Utah
84037	Female	White	Brigham Young University
84404	Female	White	University of Utah
84097	Female	White	Utah Valley University
84301	Male	"Asian, White, Native Hawaiian or Other Pacific Islander, More Than One Race"	Utah State University
84107	Female	More Than One Race	Weber State University
84115	Female	White	BYU
84057	Female	White	"Brigham Young University, Idaho"
84109	Male	"White, More Than One Race"	Southern Utah University
84044	Female	White	Salt Lake Commuinty College
84102	Female	White	Utah State University- Uintah Basin
84606	Male	White	South Puget Sound Community College
95401	Female	White	N/A
84070	Female	White	University of Utah
84660	Male	White	Utah Valley University
84111	Female	White	University of Utah
84117	Female	White	Utah State University
84084	Female	White	Utah Valley University
